Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd2183_reduced,10,-11.17,7.28
ligand_Maybridge_HitDiscoverCmpd21840_reduced,10,-10.80,7.74
ligand_Maybridge_HitDiscoverCmpd21841_reduced,10,-11.94,8.15
ligand_Maybridge_HitDiscoverCmpd21842_reduced,10,-10.49,7.03
ligand_Maybridge_HitDiscoverCmpd21843_reduced,10,-7.77,4.90
ligand_Maybridge_HitDiscoverCmpd21844_reduced,10,-11.46,8.01
ligand_Maybridge_HitDiscoverCmpd21845_reduced,10,-12.33,7.72
ligand_Maybridge_HitDiscoverCmpd21846_reduced,10,-10.01,6.79
ligand_Maybridge_HitDiscoverCmpd21847_reduced,10,-10.45,8.10
ligand_Maybridge_HitDiscoverCmpd21848_reduced,10,-10.41,7.20
ligand_Maybridge_HitDiscoverCmpd21849_reduced,10,-9.42,7.05
ligand_Maybridge_HitDiscoverCmpd2184_reduced,10,-5.89,4.99
ligand_Maybridge_HitDiscoverCmpd21850_reduced,10,-11.56,8.17
ligand_Maybridge_HitDiscoverCmpd21851_reduced,10,-11.55,7.99
ligand_Maybridge_HitDiscoverCmpd21852_reduced,10,-7.74,6.22
ligand_Maybridge_HitDiscoverCmpd21853_reduced,10,-10.36,7.33
ligand_Maybridge_HitDiscoverCmpd21854_reduced,10,-11.45,8.30
ligand_Maybridge_HitDiscoverCmpd21855_reduced,10,-9.91,7.30
ligand_Maybridge_HitDiscoverCmpd21856_reduced,10,-10.57,7.21
ligand_Maybridge_HitDiscoverCmpd21857_reduced,10,-9.13,7.79
ligand_Maybridge_HitDiscoverCmpd21858_reduced,10,-10.78,7.73
ligand_Maybridge_HitDiscoverCmpd21859_reduced,10,-10.22,7.25
ligand_Maybridge_HitDiscoverCmpd2185_reduced,10,-10.21,6.85
ligand_Maybridge_HitDiscoverCmpd21860_reduced,10,-11.76,7.89
ligand_Maybridge_HitDiscoverCmpd21861_reduced,10,-13.33,8.27
ligand_Maybridge_HitDiscoverCmpd21862_reduced,10,-8.00,5.95
ligand_Maybridge_HitDiscoverCmpd21863_reduced,10,-11.18,7.44
ligand_Maybridge_HitDiscoverCmpd21864_reduced,10,-7.52,5.73
ligand_Maybridge_HitDiscoverCmpd21865_reduced,10,-11.95,7.37
ligand_Maybridge_HitDiscoverCmpd21866_reduced,10,-1.97,3.97
ligand_Maybridge_HitDiscoverCmpd21867_reduced,10,-9.38,7.67
ligand_Maybridge_HitDiscoverCmpd21868_reduced,10,-10.89,7.64
ligand_Maybridge_HitDiscoverCmpd21869_reduced,10,-7.24,6.34
ligand_Maybridge_HitDiscoverCmpd2186_reduced,10,-6.84,6.01
ligand_Maybridge_HitDiscoverCmpd21870_reduced,10,-6.76,8.09
ligand_Maybridge_HitDiscoverCmpd21871_reduced,10,-11.23,8.15
ligand_Maybridge_HitDiscoverCmpd21872_reduced,10,-10.03,7.15
ligand_Maybridge_HitDiscoverCmpd21873_reduced,10,-10.36,7.33
ligand_Maybridge_HitDiscoverCmpd21874_reduced,10,-11.47,8.22
ligand_Maybridge_HitDiscoverCmpd21875_reduced,10,-8.46,6.26
ligand_Maybridge_HitDiscoverCmpd21876_reduced,10,-7.54,6.02
ligand_Maybridge_HitDiscoverCmpd21877_reduced,10,-11.52,7.89
ligand_Maybridge_HitDiscoverCmpd21878_reduced,10,-7.89,5.29
ligand_Maybridge_HitDiscoverCmpd21879_reduced,10,-8.08,6.21
ligand_Maybridge_HitDiscoverCmpd2187_reduced,10,-10.96,8.42
ligand_Maybridge_HitDiscoverCmpd21880_reduced,10,-12.06,8.55
ligand_Maybridge_HitDiscoverCmpd21881_reduced,10,-12.30,8.42
ligand_Maybridge_HitDiscoverCmpd21882_reduced,10,-10.57,7.16
ligand_Maybridge_HitDiscoverCmpd21883_reduced,10,-9.10,6.06
ligand_Maybridge_HitDiscoverCmpd21884_reduced,10,-11.68,8.09
ligand_Maybridge_HitDiscoverCmpd21885_reduced,10,-10.94,7.48
ligand_Maybridge_HitDiscoverCmpd21886_reduced,10,-8.31,6.76
ligand_Maybridge_HitDiscoverCmpd21887_reduced,10,-9.92,7.49
ligand_Maybridge_HitDiscoverCmpd21888_reduced,10,-10.49,7.36
ligand_Maybridge_HitDiscoverCmpd21889_reduced,10,-9.63,7.17
ligand_Maybridge_HitDiscoverCmpd2188_reduced,10,-8.93,7.08
ligand_Maybridge_HitDiscoverCmpd21890_reduced,10,-9.24,7.42
ligand_Maybridge_HitDiscoverCmpd21891_reduced,10,-9.79,7.10
ligand_Maybridge_HitDiscoverCmpd21892_reduced,10,-11.35,7.15
ligand_Maybridge_HitDiscoverCmpd21893_reduced,10,-10.80,7.00
ligand_Maybridge_HitDiscoverCmpd21894_reduced,10,-6.93,5.23
ligand_Maybridge_HitDiscoverCmpd21895_reduced,10,-11.22,8.04
ligand_Maybridge_HitDiscoverCmpd21896_reduced,10,-8.12,7.97
ligand_Maybridge_HitDiscoverCmpd21897_reduced,10,-9.77,6.90
ligand_Maybridge_HitDiscoverCmpd21898_reduced,10,-9.49,7.55
ligand_Maybridge_HitDiscoverCmpd21899_reduced,10,-8.44,7.57
ligand_Maybridge_HitDiscoverCmpd2189_reduced,10,-10.25,7.01
ligand_Maybridge_HitDiscoverCmpd218_reduced,10,-6.60,4.50
ligand_Maybridge_HitDiscoverCmpd21900_reduced,10,-6.58,8.13
ligand_Maybridge_HitDiscoverCmpd21901_reduced,10,-9.81,7.08
ligand_Maybridge_HitDiscoverCmpd21902_reduced,10,-10.99,7.29
ligand_Maybridge_HitDiscoverCmpd21903_reduced,10,-8.06,6.08
ligand_Maybridge_HitDiscoverCmpd21904_reduced,10,-12.02,7.11
ligand_Maybridge_HitDiscoverCmpd21905_reduced,10,-6.95,5.13
ligand_Maybridge_HitDiscoverCmpd21906_reduced,10,-7.80,7.75
ligand_Maybridge_HitDiscoverCmpd21907_reduced,10,-9.23,6.66
ligand_Maybridge_HitDiscoverCmpd21908_reduced,10,-10.12,7.70
ligand_Maybridge_HitDiscoverCmpd21909_reduced,10,-10.16,7.38
ligand_Maybridge_HitDiscoverCmpd2190_reduced,10,-11.51,6.85
ligand_Maybridge_HitDiscoverCmpd21910_reduced,10,-4.66,8.15
ligand_Maybridge_HitDiscoverCmpd21911_reduced,10,-10.19,7.01
ligand_Maybridge_HitDiscoverCmpd21912_reduced,10,-10.97,7.22
ligand_Maybridge_HitDiscoverCmpd21913_reduced,10,-12.17,7.76
ligand_Maybridge_HitDiscoverCmpd21914_reduced,10,-9.60,6.75
ligand_Maybridge_HitDiscoverCmpd21916_reduced,10,-9.59,6.73
ligand_Maybridge_HitDiscoverCmpd21917_reduced,10,-8.29,6.13
ligand_Maybridge_HitDiscoverCmpd21918_reduced,10,-8.78,6.53
ligand_Maybridge_HitDiscoverCmpd21919_reduced,10,-7.54,5.57
ligand_Maybridge_HitDiscoverCmpd2191_reduced,10,-5.17,4.57
ligand_Maybridge_HitDiscoverCmpd21920_reduced,10,-7.80,6.31
ligand_Maybridge_HitDiscoverCmpd21921_reduced,10,-10.66,8.03
ligand_Maybridge_HitDiscoverCmpd21922_reduced,10,-9.10,8.09
ligand_Maybridge_HitDiscoverCmpd21923_reduced,10,-7.75,7.80
ligand_Maybridge_HitDiscoverCmpd21924_reduced,10,-8.70,8.04
ligand_Maybridge_HitDiscoverCmpd21925_reduced,10,-7.81,7.08
ligand_Maybridge_HitDiscoverCmpd21926_reduced,10,-10.61,7.86
ligand_Maybridge_HitDiscoverCmpd21927_reduced,10,-12.26,7.73
ligand_Maybridge_HitDiscoverCmpd21928_reduced,10,-9.45,6.52
ligand_Maybridge_HitDiscoverCmpd21929_reduced,10,-7.49,6.05
ligand_Maybridge_HitDiscoverCmpd2192_reduced,10,-8.15,7.10
ligand_Maybridge_HitDiscoverCmpd21930_reduced,10,-9.13,6.29
ligand_Maybridge_HitDiscoverCmpd21931_reduced,10,-8.88,7.31
ligand_Maybridge_HitDiscoverCmpd21932_reduced,10,-7.03,7.78
ligand_Maybridge_HitDiscoverCmpd21933_reduced,10,-4.21,7.74
ligand_Maybridge_HitDiscoverCmpd21934_reduced,10,-6.10,7.00
ligand_Maybridge_HitDiscoverCmpd21935_reduced,10,-5.86,7.60
ligand_Maybridge_HitDiscoverCmpd21936_reduced,10,-9.20,6.66
ligand_Maybridge_HitDiscoverCmpd21937_reduced,10,-7.42,5.77
ligand_Maybridge_HitDiscoverCmpd21938_reduced,10,-3.80,8.48
ligand_Maybridge_HitDiscoverCmpd21939_reduced,10,-8.26,5.52
ligand_Maybridge_HitDiscoverCmpd2193_reduced,10,-12.37,8.18
ligand_Maybridge_HitDiscoverCmpd21940_reduced,10,-6.19,5.52
ligand_Maybridge_HitDiscoverCmpd21941_reduced,10,-10.58,8.21
ligand_Maybridge_HitDiscoverCmpd21942_reduced,10,-6.44,6.97
ligand_Maybridge_HitDiscoverCmpd21943_reduced,10,-8.32,8.12
ligand_Maybridge_HitDiscoverCmpd21944_reduced,10,-3.52,7.67
ligand_Maybridge_HitDiscoverCmpd21945_reduced,10,-8.83,6.12
ligand_Maybridge_HitDiscoverCmpd21946_reduced,10,-10.70,6.71
ligand_Maybridge_HitDiscoverCmpd21947_reduced,10,-11.20,6.39
ligand_Maybridge_HitDiscoverCmpd21948_reduced,10,-10.08,6.73
ligand_Maybridge_HitDiscoverCmpd21949_reduced,10,-10.46,6.72
ligand_Maybridge_HitDiscoverCmpd2194_reduced,10,-9.94,6.24
ligand_Maybridge_HitDiscoverCmpd21950_reduced,10,-9.10,6.79
ligand_Maybridge_HitDiscoverCmpd21951_reduced,10,-9.18,6.84
ligand_Maybridge_HitDiscoverCmpd21952_reduced,10,-9.01,6.98
ligand_Maybridge_HitDiscoverCmpd21953_reduced,10,-9.38,7.46
ligand_Maybridge_HitDiscoverCmpd21954_reduced,10,-6.05,7.75
ligand_Maybridge_HitDiscoverCmpd21955_reduced,10,-7.19,7.56
ligand_Maybridge_HitDiscoverCmpd21956_reduced,10,-8.55,6.45
ligand_Maybridge_HitDiscoverCmpd21957_reduced,10,-11.12,6.67
ligand_Maybridge_HitDiscoverCmpd21959_reduced,10,-7.82,5.56
ligand_Maybridge_HitDiscoverCmpd2195_reduced,10,-9.17,6.53
ligand_Maybridge_HitDiscoverCmpd21960_reduced,10,-8.52,7.24
ligand_Maybridge_HitDiscoverCmpd21961_reduced,10,-9.01,7.65
ligand_Maybridge_HitDiscoverCmpd21962_reduced,10,-8.85,7.48
ligand_Maybridge_HitDiscoverCmpd21963_reduced,10,-8.72,7.73
ligand_Maybridge_HitDiscoverCmpd21964_reduced,10,-8.66,7.88
ligand_Maybridge_HitDiscoverCmpd21965_reduced,10,-7.32,6.78
ligand_Maybridge_HitDiscoverCmpd21966_reduced,10,-7.02,7.91
ligand_Maybridge_HitDiscoverCmpd21967_reduced,10,-11.28,6.44
ligand_Maybridge_HitDiscoverCmpd21969_reduced,10,-7.86,5.56
ligand_Maybridge_HitDiscoverCmpd2196_reduced,10,-10.65,6.92
ligand_Maybridge_HitDiscoverCmpd21970_reduced,10,-8.43,7.09
ligand_Maybridge_HitDiscoverCmpd21971_reduced,10,-9.26,8.01
ligand_Maybridge_HitDiscoverCmpd21972_reduced,10,-6.09,7.47
ligand_Maybridge_HitDiscoverCmpd21973_reduced,10,-4.59,7.51
ligand_Maybridge_HitDiscoverCmpd21974_reduced,10,-6.47,6.72
ligand_Maybridge_HitDiscoverCmpd21975_reduced,10,-5.46,7.27
ligand_Maybridge_HitDiscoverCmpd21976_reduced,10,-10.71,6.66
ligand_Maybridge_HitDiscoverCmpd21977_reduced,10,-11.51,7.15
ligand_Maybridge_HitDiscoverCmpd21979_reduced,10,-8.33,5.64
ligand_Maybridge_HitDiscoverCmpd2197_reduced,10,-10.98,8.08
ligand_Maybridge_HitDiscoverCmpd21980_reduced,10,-11.30,7.63
ligand_Maybridge_HitDiscoverCmpd21981_reduced,10,-6.11,7.84
ligand_Maybridge_HitDiscoverCmpd21982_reduced,10,-3.87,8.16
ligand_Maybridge_HitDiscoverCmpd21983_reduced,10,-9.56,7.13
ligand_Maybridge_HitDiscoverCmpd21984_reduced,10,-9.55,7.44
ligand_Maybridge_HitDiscoverCmpd21985_reduced,10,-8.71,7.78
ligand_Maybridge_HitDiscoverCmpd21986_reduced,10,-9.29,6.12
ligand_Maybridge_HitDiscoverCmpd21987_reduced,10,-9.45,6.12
ligand_Maybridge_HitDiscoverCmpd21989_reduced,10,-9.21,6.34
ligand_Maybridge_HitDiscoverCmpd2198_reduced,10,-9.61,7.86
ligand_Maybridge_HitDiscoverCmpd21990_reduced,10,-7.44,6.73
ligand_Maybridge_HitDiscoverCmpd21991_reduced,10,-9.38,6.81
ligand_Maybridge_HitDiscoverCmpd21992_reduced,10,-7.46,7.61
ligand_Maybridge_HitDiscoverCmpd21993_reduced,10,-8.64,7.70
ligand_Maybridge_HitDiscoverCmpd21994_reduced,10,-7.83,7.39
ligand_Maybridge_HitDiscoverCmpd21995_reduced,10,-8.03,7.50
ligand_Maybridge_HitDiscoverCmpd21996_reduced,10,-11.32,6.36
ligand_Maybridge_HitDiscoverCmpd21997_reduced,10,-12.20,8.32
ligand_Maybridge_HitDiscoverCmpd21998_reduced,10,-11.43,7.80
ligand_Maybridge_HitDiscoverCmpd21999_reduced,10,-10.56,7.28
ligand_Maybridge_HitDiscoverCmpd2199_reduced,10,-9.53,7.23
ligand_Maybridge_HitDiscoverCmpd219_reduced,10,-9.92,6.79
ligand_Maybridge_HitDiscoverCmpd21_reduced,10,-10.35,6.62
ligand_Maybridge_HitDiscoverCmpd22000_reduced,10,-11.47,7.66
ligand_Maybridge_HitDiscoverCmpd22001_reduced,10,-11.55,7.71
ligand_Maybridge_HitDiscoverCmpd22002_reduced,10,-8.37,6.49
ligand_Maybridge_HitDiscoverCmpd22003_reduced,10,-10.53,6.40
ligand_Maybridge_HitDiscoverCmpd22005_reduced,10,-7.29,5.74
ligand_Maybridge_HitDiscoverCmpd22006_reduced,10,-11.29,6.58
ligand_Maybridge_HitDiscoverCmpd22007_reduced,10,-5.22,4.63
ligand_Maybridge_HitDiscoverCmpd22008_reduced,10,-8.62,6.50
ligand_Maybridge_HitDiscoverCmpd22009_reduced,10,-10.82,7.16
ligand_Maybridge_HitDiscoverCmpd2200_reduced,10,-8.41,7.37
ligand_Maybridge_HitDiscoverCmpd22010_reduced,10,-11.38,7.62
ligand_Maybridge_HitDiscoverCmpd22011_reduced,10,-11.54,8.02
ligand_Maybridge_HitDiscoverCmpd22012_reduced,10,-9.94,7.54
ligand_Maybridge_HitDiscoverCmpd22013_reduced,10,-7.57,5.91
ligand_Maybridge_HitDiscoverCmpd22014_reduced,10,-12.28,7.87
ligand_Maybridge_HitDiscoverCmpd22016_reduced,10,-9.31,6.65
ligand_Maybridge_HitDiscoverCmpd22017_reduced,10,-9.33,6.51
ligand_Maybridge_HitDiscoverCmpd22018_reduced,10,-7.48,7.58
ligand_Maybridge_HitDiscoverCmpd22019_reduced,10,-10.71,7.44
ligand_Maybridge_HitDiscoverCmpd2201_reduced,10,-8.09,6.49
ligand_Maybridge_HitDiscoverCmpd22020_reduced,10,-9.14,7.96
ligand_Maybridge_HitDiscoverCmpd22021_reduced,10,-7.66,6.89
ligand_Maybridge_HitDiscoverCmpd22022_reduced,10,-11.89,7.07
ligand_Maybridge_HitDiscoverCmpd22024_reduced,10,-8.67,6.73
ligand_Maybridge_HitDiscoverCmpd22026_reduced,10,-8.40,5.98
ligand_Maybridge_HitDiscoverCmpd22027_reduced,10,-9.15,6.72
ligand_Maybridge_HitDiscoverCmpd22028_reduced,10,-8.15,6.62
ligand_Maybridge_HitDiscoverCmpd22029_reduced,10,-9.98,7.42
ligand_Maybridge_HitDiscoverCmpd2202_reduced,10,-9.12,6.71
ligand_Maybridge_HitDiscoverCmpd22030_reduced,10,-11.05,7.99
ligand_Maybridge_HitDiscoverCmpd22031_reduced,10,-9.72,7.68
ligand_Maybridge_HitDiscoverCmpd22032_reduced,10,-8.10,7.31
ligand_Maybridge_HitDiscoverCmpd22034_reduced,10,-7.61,4.67
ligand_Maybridge_HitDiscoverCmpd22036_reduced,10,-11.51,7.38
ligand_Maybridge_HitDiscoverCmpd22037_reduced,10,-8.26,6.73
ligand_Maybridge_HitDiscoverCmpd22038_reduced,10,-8.11,6.27
ligand_Maybridge_HitDiscoverCmpd22039_reduced,10,-11.64,7.83
ligand_Maybridge_HitDiscoverCmpd2203_reduced,10,-8.91,6.30
ligand_Maybridge_HitDiscoverCmpd22040_reduced,10,-10.88,6.95
ligand_Maybridge_HitDiscoverCmpd22041_reduced,10,-11.33,7.42
ligand_Maybridge_HitDiscoverCmpd22042_reduced,10,-11.52,6.52
ligand_Maybridge_HitDiscoverCmpd22044_reduced,10,-10.05,6.37
ligand_Maybridge_HitDiscoverCmpd22046_reduced,10,-7.90,7.64
ligand_Maybridge_HitDiscoverCmpd22047_reduced,10,-8.43,6.58
ligand_Maybridge_HitDiscoverCmpd22048_reduced,10,-8.10,6.08
ligand_Maybridge_HitDiscoverCmpd22049_reduced,10,-11.11,7.77
ligand_Maybridge_HitDiscoverCmpd2204_reduced,10,-8.61,5.98
ligand_Maybridge_HitDiscoverCmpd22050_reduced,10,-11.78,7.58
ligand_Maybridge_HitDiscoverCmpd22051_reduced,10,-7.09,6.46
ligand_Maybridge_HitDiscoverCmpd22052_reduced,10,-9.76,7.56
ligand_Maybridge_HitDiscoverCmpd22053_reduced,10,-10.18,6.68
ligand_Maybridge_HitDiscoverCmpd22054_reduced,10,-11.04,6.41
ligand_Maybridge_HitDiscoverCmpd22055_reduced,10,-6.99,5.31
ligand_Maybridge_HitDiscoverCmpd22056_reduced,10,-9.10,6.22
ligand_Maybridge_HitDiscoverCmpd22057_reduced,10,-12.30,7.81
ligand_Maybridge_HitDiscoverCmpd22058_reduced,10,-10.70,8.36
ligand_Maybridge_HitDiscoverCmpd22059_reduced,10,-10.68,7.31
ligand_Maybridge_HitDiscoverCmpd2205_reduced,10,-12.55,8.03
ligand_Maybridge_HitDiscoverCmpd22060_reduced,10,-11.52,7.47
ligand_Maybridge_HitDiscoverCmpd22061_reduced,10,-7.76,6.48
ligand_Maybridge_HitDiscoverCmpd22062_reduced,10,-8.45,7.94
ligand_Maybridge_HitDiscoverCmpd22064_reduced,10,-8.58,6.42
ligand_Maybridge_HitDiscoverCmpd22066_reduced,10,-8.85,6.31
ligand_Maybridge_HitDiscoverCmpd22067_reduced,10,-10.79,6.22
ligand_Maybridge_HitDiscoverCmpd22068_reduced,10,-11.13,7.10
ligand_Maybridge_HitDiscoverCmpd22069_reduced,10,-10.95,7.45
ligand_Maybridge_HitDiscoverCmpd2206_reduced,10,-9.91,7.58
ligand_Maybridge_HitDiscoverCmpd22070_reduced,10,-11.39,7.90
ligand_Maybridge_HitDiscoverCmpd22071_reduced,10,-5.56,5.70
ligand_Maybridge_HitDiscoverCmpd22072_reduced,10,-10.50,8.10
ligand_Maybridge_HitDiscoverCmpd22074_reduced,10,-6.07,4.96
ligand_Maybridge_HitDiscoverCmpd22076_reduced,10,-11.44,8.01
ligand_Maybridge_HitDiscoverCmpd22077_reduced,10,-11.28,7.42
ligand_Maybridge_HitDiscoverCmpd22078_reduced,10,-10.48,8.13
ligand_Maybridge_HitDiscoverCmpd22079_reduced,10,-9.63,7.41
ligand_Maybridge_HitDiscoverCmpd2207_reduced,10,-12.39,8.39
ligand_Maybridge_HitDiscoverCmpd22080_reduced,10,-10.98,7.82
ligand_Maybridge_HitDiscoverCmpd22081_reduced,10,-9.38,6.43
ligand_Maybridge_HitDiscoverCmpd22082_reduced,10,-9.09,6.17
ligand_Maybridge_HitDiscoverCmpd22083_reduced,10,-7.58,7.58
ligand_Maybridge_HitDiscoverCmpd22084_reduced,10,-8.53,7.03
ligand_Maybridge_HitDiscoverCmpd22085_reduced,10,-9.03,6.38
ligand_Maybridge_HitDiscoverCmpd22086_reduced,10,-7.88,6.36
ligand_Maybridge_HitDiscoverCmpd22087_reduced,10,-11.42,7.43
ligand_Maybridge_HitDiscoverCmpd22088_reduced,10,-7.10,5.58
ligand_Maybridge_HitDiscoverCmpd22089_reduced,10,-9.32,6.86
ligand_Maybridge_HitDiscoverCmpd2208_reduced,10,-9.59,7.06
ligand_Maybridge_HitDiscoverCmpd22090_reduced,10,-9.12,6.72
ligand_Maybridge_HitDiscoverCmpd22091_reduced,10,-9.83,6.58
ligand_Maybridge_HitDiscoverCmpd22092_reduced,10,-10.47,6.63
ligand_Maybridge_HitDiscoverCmpd22093_reduced,10,-5.80,4.46
ligand_Maybridge_HitDiscoverCmpd22094_reduced,10,-9.33,7.38
ligand_Maybridge_HitDiscoverCmpd22095_reduced,10,-8.86,8.18
ligand_Maybridge_HitDiscoverCmpd22096_reduced,10,-7.79,5.94
ligand_Maybridge_HitDiscoverCmpd22097_reduced,10,-7.51,5.65
ligand_Maybridge_HitDiscoverCmpd22098_reduced,10,-8.76,6.84
ligand_Maybridge_HitDiscoverCmpd22099_reduced,10,-9.09,6.21
ligand_Maybridge_HitDiscoverCmpd2209_reduced,10,-11.74,8.07
ligand_Maybridge_HitDiscoverCmpd220_reduced,10,-8.13,5.54
ligand_Maybridge_HitDiscoverCmpd22100_reduced,10,-12.12,7.72
ligand_Maybridge_HitDiscoverCmpd22101_reduced,10,-11.71,7.85
ligand_Maybridge_HitDiscoverCmpd22102_reduced,10,-9.79,6.33
ligand_Maybridge_HitDiscoverCmpd22103_reduced,10,-11.34,7.85
ligand_Maybridge_HitDiscoverCmpd22104_reduced,10,-8.13,6.64
ligand_Maybridge_HitDiscoverCmpd22105_reduced,10,-8.35,6.70
ligand_Maybridge_HitDiscoverCmpd22106_reduced,10,-10.71,7.27
ligand_Maybridge_HitDiscoverCmpd22107_reduced,10,-7.52,5.19
ligand_Maybridge_HitDiscoverCmpd22108_reduced,10,-8.92,5.43
ligand_Maybridge_HitDiscoverCmpd22109_reduced,10,-8.89,6.78
ligand_Maybridge_HitDiscoverCmpd2210_reduced,10,-10.64,7.79
ligand_Maybridge_HitDiscoverCmpd22110_reduced,10,-6.71,5.25
ligand_Maybridge_HitDiscoverCmpd22111_reduced,10,-7.94,5.73
ligand_Maybridge_HitDiscoverCmpd22112_reduced,10,-10.09,6.65
ligand_Maybridge_HitDiscoverCmpd22113_reduced,10,-9.20,5.90
ligand_Maybridge_HitDiscoverCmpd22114_reduced,10,-10.15,7.73
ligand_Maybridge_HitDiscoverCmpd22115_reduced,10,-8.17,6.80
ligand_Maybridge_HitDiscoverCmpd22116_reduced,10,-11.08,7.27
ligand_Maybridge_HitDiscoverCmpd22117_reduced,10,-7.62,7.97
ligand_Maybridge_HitDiscoverCmpd22118_reduced,10,-10.90,6.62
ligand_Maybridge_HitDiscoverCmpd22119_reduced,10,-7.31,5.21
ligand_Maybridge_HitDiscoverCmpd2211_reduced,10,-9.31,6.78
ligand_Maybridge_HitDiscoverCmpd22120_reduced,10,-5.52,4.49
ligand_Maybridge_HitDiscoverCmpd22121_reduced,10,-6.84,4.91
ligand_Maybridge_HitDiscoverCmpd22122_reduced,10,-8.84,6.58
ligand_Maybridge_HitDiscoverCmpd22123_reduced,10,-11.94,7.61
ligand_Maybridge_HitDiscoverCmpd22124_reduced,10,-8.72,6.49
ligand_Maybridge_HitDiscoverCmpd22125_reduced,10,-8.49,6.12
ligand_Maybridge_HitDiscoverCmpd22126_reduced,10,-10.15,7.31
ligand_Maybridge_HitDiscoverCmpd22127_reduced,10,-10.93,7.69
ligand_Maybridge_HitDiscoverCmpd22128_reduced,10,-9.79,7.12
ligand_Maybridge_HitDiscoverCmpd22129_reduced,10,-8.42,5.83
ligand_Maybridge_HitDiscoverCmpd2212_reduced,10,-10.91,7.83
ligand_Maybridge_HitDiscoverCmpd22130_reduced,10,-8.01,6.29
ligand_Maybridge_HitDiscoverCmpd22131_reduced,10,-10.01,6.45
ligand_Maybridge_HitDiscoverCmpd22132_reduced,10,-8.55,6.39
ligand_Maybridge_HitDiscoverCmpd22133_reduced,10,-7.42,8.05
ligand_Maybridge_HitDiscoverCmpd22134_reduced,10,-10.22,7.39
ligand_Maybridge_HitDiscoverCmpd22135_reduced,10,-8.30,6.04
ligand_Maybridge_HitDiscoverCmpd22136_reduced,10,-10.78,7.49
ligand_Maybridge_HitDiscoverCmpd22137_reduced,10,-8.16,5.49
ligand_Maybridge_HitDiscoverCmpd22138_reduced,10,-9.00,6.29
ligand_Maybridge_HitDiscoverCmpd22139_reduced,10,-9.32,6.99
ligand_Maybridge_HitDiscoverCmpd2213_reduced,10,-7.21,7.48
ligand_Maybridge_HitDiscoverCmpd22140_reduced,10,-8.79,6.50
ligand_Maybridge_HitDiscoverCmpd22141_reduced,10,-10.08,6.89
ligand_Maybridge_HitDiscoverCmpd22142_reduced,10,-9.24,6.23
ligand_Maybridge_HitDiscoverCmpd22143_reduced,10,-6.76,8.38
ligand_Maybridge_HitDiscoverCmpd22144_reduced,10,-10.81,8.07
