Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd45745_reduced,10,-10.87,7.07
ligand_Maybridge_HitDiscoverCmpd45746_reduced,10,-5.69,8.16
ligand_Maybridge_HitDiscoverCmpd45747_reduced,10,-10.77,7.97
ligand_Maybridge_HitDiscoverCmpd45748_reduced,10,-11.05,7.88
ligand_Maybridge_HitDiscoverCmpd45749_reduced,10,-11.18,8.20
ligand_Maybridge_HitDiscoverCmpd4574_reduced,10,-10.43,6.13
ligand_Maybridge_HitDiscoverCmpd45750_reduced,10,-11.28,8.10
ligand_Maybridge_HitDiscoverCmpd45751_reduced,10,-11.31,6.74
ligand_Maybridge_HitDiscoverCmpd45752_reduced,10,-7.91,6.86
ligand_Maybridge_HitDiscoverCmpd45753_reduced,10,-10.73,7.82
ligand_Maybridge_HitDiscoverCmpd45754_reduced,10,-9.09,7.40
ligand_Maybridge_HitDiscoverCmpd45755_reduced,10,-9.68,7.28
ligand_Maybridge_HitDiscoverCmpd45756_reduced,10,-7.18,5.94
ligand_Maybridge_HitDiscoverCmpd45757_reduced,10,-7.94,7.98
ligand_Maybridge_HitDiscoverCmpd45758_reduced,10,-12.01,7.69
ligand_Maybridge_HitDiscoverCmpd45759_reduced,10,-9.97,6.73
ligand_Maybridge_HitDiscoverCmpd4575_reduced,10,-9.19,6.55
ligand_Maybridge_HitDiscoverCmpd45760_reduced,10,-9.97,7.32
ligand_Maybridge_HitDiscoverCmpd45761_reduced,10,-6.25,5.28
ligand_Maybridge_HitDiscoverCmpd45762_reduced,10,-12.31,8.16
ligand_Maybridge_HitDiscoverCmpd45763_reduced,10,-9.23,7.07
ligand_Maybridge_HitDiscoverCmpd45764_reduced,10,-10.71,7.58
ligand_Maybridge_HitDiscoverCmpd45765_reduced,10,-8.39,6.20
ligand_Maybridge_HitDiscoverCmpd45766_reduced,10,-9.81,6.77
ligand_Maybridge_HitDiscoverCmpd45767_reduced,10,-11.86,7.70
ligand_Maybridge_HitDiscoverCmpd45768_reduced,10,-13.24,7.78
ligand_Maybridge_HitDiscoverCmpd45769_reduced,10,-7.08,7.63
ligand_Maybridge_HitDiscoverCmpd4576_reduced,10,-8.77,6.38
ligand_Maybridge_HitDiscoverCmpd45770_reduced,10,-11.57,8.36
ligand_Maybridge_HitDiscoverCmpd45771_reduced,10,-11.56,7.54
ligand_Maybridge_HitDiscoverCmpd45772_reduced,10,-10.17,7.22
ligand_Maybridge_HitDiscoverCmpd45774_reduced,10,-11.22,7.75
ligand_Maybridge_HitDiscoverCmpd45775_reduced,10,-8.44,6.47
ligand_Maybridge_HitDiscoverCmpd45776_reduced,10,-10.61,7.98
ligand_Maybridge_HitDiscoverCmpd45777_reduced,10,-11.86,8.29
ligand_Maybridge_HitDiscoverCmpd45778_reduced,10,-12.36,7.92
ligand_Maybridge_HitDiscoverCmpd45779_reduced,10,-7.83,7.77
ligand_Maybridge_HitDiscoverCmpd4577_reduced,10,-7.95,6.63
ligand_Maybridge_HitDiscoverCmpd45780_reduced,10,-9.02,6.27
ligand_Maybridge_HitDiscoverCmpd45781_reduced,10,-14.42,8.40
ligand_Maybridge_HitDiscoverCmpd45782_reduced,10,-10.69,7.73
ligand_Maybridge_HitDiscoverCmpd45783_reduced,10,-9.91,6.22
ligand_Maybridge_HitDiscoverCmpd45784_reduced,10,-8.99,6.94
ligand_Maybridge_HitDiscoverCmpd45785_reduced,10,-7.93,5.93
ligand_Maybridge_HitDiscoverCmpd45786_reduced,10,-12.24,7.90
ligand_Maybridge_HitDiscoverCmpd45787_reduced,10,-12.05,8.00
ligand_Maybridge_HitDiscoverCmpd45788_reduced,10,-6.58,8.10
ligand_Maybridge_HitDiscoverCmpd45789_reduced,10,-9.83,6.93
ligand_Maybridge_HitDiscoverCmpd4578_reduced,10,-7.09,6.19
ligand_Maybridge_HitDiscoverCmpd45790_reduced,10,-8.89,5.96
ligand_Maybridge_HitDiscoverCmpd45791_reduced,10,-7.12,7.57
ligand_Maybridge_HitDiscoverCmpd45792_reduced,10,-10.52,7.43
ligand_Maybridge_HitDiscoverCmpd45793_reduced,10,-8.75,5.74
ligand_Maybridge_HitDiscoverCmpd45794_reduced,10,-7.57,5.24
ligand_Maybridge_HitDiscoverCmpd45795_reduced,10,-6.15,5.55
ligand_Maybridge_HitDiscoverCmpd45796_reduced,10,-11.42,8.24
ligand_Maybridge_HitDiscoverCmpd45797_reduced,10,-8.22,6.54
ligand_Maybridge_HitDiscoverCmpd45798_reduced,10,-8.58,6.75
ligand_Maybridge_HitDiscoverCmpd45799_reduced,10,-8.46,6.41
ligand_Maybridge_HitDiscoverCmpd4579_reduced,10,-8.47,7.03
ligand_Maybridge_HitDiscoverCmpd457_reduced,10,-9.67,7.50
ligand_Maybridge_HitDiscoverCmpd45800_reduced,10,-11.26,7.91
ligand_Maybridge_HitDiscoverCmpd45801_reduced,10,-6.36,7.66
ligand_Maybridge_HitDiscoverCmpd45802_reduced,10,-10.83,7.42
ligand_Maybridge_HitDiscoverCmpd45803_reduced,10,-10.21,6.88
ligand_Maybridge_HitDiscoverCmpd45804_reduced,10,-7.08,5.53
ligand_Maybridge_HitDiscoverCmpd45805_reduced,10,-8.69,6.62
ligand_Maybridge_HitDiscoverCmpd45806_reduced,10,-7.80,6.01
ligand_Maybridge_HitDiscoverCmpd45807_reduced,10,-9.35,6.51
ligand_Maybridge_HitDiscoverCmpd45808_reduced,10,-8.47,7.54
ligand_Maybridge_HitDiscoverCmpd45809_reduced,10,-9.33,6.95
ligand_Maybridge_HitDiscoverCmpd4580_reduced,10,-7.54,5.87
ligand_Maybridge_HitDiscoverCmpd45810_reduced,10,-10.93,7.36
ligand_Maybridge_HitDiscoverCmpd45811_reduced,10,-8.69,6.58
ligand_Maybridge_HitDiscoverCmpd45812_reduced,10,-7.71,5.84
ligand_Maybridge_HitDiscoverCmpd45813_reduced,10,-9.60,5.82
ligand_Maybridge_HitDiscoverCmpd45814_reduced,10,-9.31,6.03
ligand_Maybridge_HitDiscoverCmpd45815_reduced,10,-7.31,5.95
ligand_Maybridge_HitDiscoverCmpd45816_reduced,10,-7.79,5.78
ligand_Maybridge_HitDiscoverCmpd45817_reduced,10,-8.80,6.39
ligand_Maybridge_HitDiscoverCmpd45818_reduced,10,-7.52,5.85
ligand_Maybridge_HitDiscoverCmpd45819_reduced,10,-8.91,6.27
ligand_Maybridge_HitDiscoverCmpd4581_reduced,10,-10.45,7.26
ligand_Maybridge_HitDiscoverCmpd45820_reduced,10,-7.67,6.77
ligand_Maybridge_HitDiscoverCmpd45821_reduced,10,-8.91,6.17
ligand_Maybridge_HitDiscoverCmpd45822_reduced,10,-8.27,6.99
ligand_Maybridge_HitDiscoverCmpd45823_reduced,10,-9.86,6.10
ligand_Maybridge_HitDiscoverCmpd45824_reduced,10,-6.94,5.53
ligand_Maybridge_HitDiscoverCmpd45825_reduced,10,-11.17,8.02
ligand_Maybridge_HitDiscoverCmpd45826_reduced,10,-8.90,5.85
ligand_Maybridge_HitDiscoverCmpd45827_reduced,10,-8.62,6.83
ligand_Maybridge_HitDiscoverCmpd45828_reduced,10,-9.11,6.68
ligand_Maybridge_HitDiscoverCmpd45829_reduced,10,-7.60,5.62
ligand_Maybridge_HitDiscoverCmpd4582_reduced,10,-6.81,4.63
ligand_Maybridge_HitDiscoverCmpd45830_reduced,10,-11.14,7.22
ligand_Maybridge_HitDiscoverCmpd45831_reduced,10,-7.14,5.72
ligand_Maybridge_HitDiscoverCmpd45832_reduced,10,-11.25,7.60
ligand_Maybridge_HitDiscoverCmpd45833_reduced,10,-12.07,8.09
ligand_Maybridge_HitDiscoverCmpd45834_reduced,10,-9.81,7.97
ligand_Maybridge_HitDiscoverCmpd45835_reduced,10,-9.36,5.92
ligand_Maybridge_HitDiscoverCmpd45836_reduced,10,-8.54,6.64
ligand_Maybridge_HitDiscoverCmpd45837_reduced,10,-8.85,6.50
ligand_Maybridge_HitDiscoverCmpd45838_reduced,10,-7.69,5.74
ligand_Maybridge_HitDiscoverCmpd45839_reduced,10,-8.00,6.71
ligand_Maybridge_HitDiscoverCmpd4583_reduced,10,-8.97,6.23
ligand_Maybridge_HitDiscoverCmpd45840_reduced,10,-10.79,6.71
ligand_Maybridge_HitDiscoverCmpd45841_reduced,10,-7.66,6.23
ligand_Maybridge_HitDiscoverCmpd45842_reduced,10,-10.89,7.29
ligand_Maybridge_HitDiscoverCmpd45843_reduced,10,-13.23,8.08
ligand_Maybridge_HitDiscoverCmpd45844_reduced,10,-11.24,6.91
ligand_Maybridge_HitDiscoverCmpd45845_reduced,10,-12.10,7.92
ligand_Maybridge_HitDiscoverCmpd45846_reduced,10,-11.73,7.78
ligand_Maybridge_HitDiscoverCmpd45847_reduced,10,-8.54,6.71
ligand_Maybridge_HitDiscoverCmpd45848_reduced,10,-9.75,6.69
ligand_Maybridge_HitDiscoverCmpd45849_reduced,10,-9.46,6.83
ligand_Maybridge_HitDiscoverCmpd4584_reduced,10,-5.86,7.68
ligand_Maybridge_HitDiscoverCmpd45850_reduced,10,-10.44,8.32
ligand_Maybridge_HitDiscoverCmpd45851_reduced,10,-8.07,5.97
ligand_Maybridge_HitDiscoverCmpd45852_reduced,10,-13.37,8.14
ligand_Maybridge_HitDiscoverCmpd45853_reduced,10,-8.84,5.64
ligand_Maybridge_HitDiscoverCmpd45854_reduced,10,-12.74,7.93
ligand_Maybridge_HitDiscoverCmpd45855_reduced,10,-12.05,7.72
ligand_Maybridge_HitDiscoverCmpd45856_reduced,10,-11.71,7.27
ligand_Maybridge_HitDiscoverCmpd45857_reduced,10,-8.67,6.38
ligand_Maybridge_HitDiscoverCmpd45858_reduced,10,-9.18,6.52
ligand_Maybridge_HitDiscoverCmpd45859_reduced,10,-9.72,6.38
ligand_Maybridge_HitDiscoverCmpd4585_reduced,10,-9.93,7.03
ligand_Maybridge_HitDiscoverCmpd45860_reduced,10,-6.94,4.54
ligand_Maybridge_HitDiscoverCmpd45861_reduced,0
ligand_Maybridge_HitDiscoverCmpd45862_reduced,10,-9.15,6.76
ligand_Maybridge_HitDiscoverCmpd45863_reduced,10,-8.32,5.96
ligand_Maybridge_HitDiscoverCmpd45864_reduced,10,-8.49,5.80
ligand_Maybridge_HitDiscoverCmpd45865_reduced,10,-5.94,8.05
ligand_Maybridge_HitDiscoverCmpd45866_reduced,10,-9.35,6.59
ligand_Maybridge_HitDiscoverCmpd45867_reduced,10,-7.51,5.97
ligand_Maybridge_HitDiscoverCmpd45868_reduced,10,-8.13,5.89
ligand_Maybridge_HitDiscoverCmpd45869_reduced,10,-10.84,6.70
ligand_Maybridge_HitDiscoverCmpd4586_reduced,10,-9.19,6.62
ligand_Maybridge_HitDiscoverCmpd45870_reduced,10,-9.25,6.54
ligand_Maybridge_HitDiscoverCmpd45871_reduced,10,-4.99,6.77
ligand_Maybridge_HitDiscoverCmpd45872_reduced,10,-6.08,5.43
ligand_Maybridge_HitDiscoverCmpd45873_reduced,10,-10.11,6.61
ligand_Maybridge_HitDiscoverCmpd45874_reduced,10,-8.73,6.89
ligand_Maybridge_HitDiscoverCmpd45875_reduced,10,-9.74,7.00
ligand_Maybridge_HitDiscoverCmpd45877_reduced,10,-5.84,5.07
ligand_Maybridge_HitDiscoverCmpd45879_reduced,10,-10.94,6.39
ligand_Maybridge_HitDiscoverCmpd4587_reduced,10,-6.97,6.04
ligand_Maybridge_HitDiscoverCmpd45880_reduced,10,-8.96,6.27
ligand_Maybridge_HitDiscoverCmpd45881_reduced,10,-8.10,5.79
ligand_Maybridge_HitDiscoverCmpd45882_reduced,10,6.61,7.50
ligand_Maybridge_HitDiscoverCmpd45883_reduced,10,-8.40,6.57
ligand_Maybridge_HitDiscoverCmpd45884_reduced,10,-7.65,5.67
ligand_Maybridge_HitDiscoverCmpd45886_reduced,10,-10.58,6.85
ligand_Maybridge_HitDiscoverCmpd45887_reduced,10,-4.83,4.05
ligand_Maybridge_HitDiscoverCmpd45888_reduced,10,-7.42,4.79
ligand_Maybridge_HitDiscoverCmpd45889_reduced,10,-7.96,5.63
ligand_Maybridge_HitDiscoverCmpd4588_reduced,10,-10.95,7.56
ligand_Maybridge_HitDiscoverCmpd45890_reduced,10,-9.90,7.24
ligand_Maybridge_HitDiscoverCmpd45891_reduced,10,-8.06,5.58
ligand_Maybridge_HitDiscoverCmpd45892_reduced,10,-11.80,8.02
ligand_Maybridge_HitDiscoverCmpd45893_reduced,10,-8.26,8.12
ligand_Maybridge_HitDiscoverCmpd45894_reduced,10,-10.22,6.51
ligand_Maybridge_HitDiscoverCmpd45895_reduced,10,-8.41,6.43
ligand_Maybridge_HitDiscoverCmpd45896_reduced,10,-8.38,6.52
ligand_Maybridge_HitDiscoverCmpd45897_reduced,10,-7.54,5.42
ligand_Maybridge_HitDiscoverCmpd45898_reduced,10,-8.95,6.11
ligand_Maybridge_HitDiscoverCmpd45899_reduced,10,-6.79,5.88
ligand_Maybridge_HitDiscoverCmpd4589_reduced,10,-10.30,7.29
ligand_Maybridge_HitDiscoverCmpd458_reduced,10,-8.36,6.94
ligand_Maybridge_HitDiscoverCmpd45900_reduced,10,-8.46,6.28
ligand_Maybridge_HitDiscoverCmpd45901_reduced,10,-8.42,5.90
ligand_Maybridge_HitDiscoverCmpd45902_reduced,10,-7.07,6.22
ligand_Maybridge_HitDiscoverCmpd45903_reduced,10,-8.72,6.31
ligand_Maybridge_HitDiscoverCmpd45904_reduced,10,-8.21,7.25
ligand_Maybridge_HitDiscoverCmpd45905_reduced,10,-7.98,5.68
ligand_Maybridge_HitDiscoverCmpd45906_reduced,10,-8.09,6.10
ligand_Maybridge_HitDiscoverCmpd45907_reduced,10,-9.60,7.57
ligand_Maybridge_HitDiscoverCmpd45908_reduced,10,-6.16,5.26
ligand_Maybridge_HitDiscoverCmpd45909_reduced,10,-12.29,7.42
ligand_Maybridge_HitDiscoverCmpd4590_reduced,10,-9.75,7.10
ligand_Maybridge_HitDiscoverCmpd45910_reduced,10,-9.04,6.87
ligand_Maybridge_HitDiscoverCmpd45911_reduced,10,-10.25,7.69
ligand_Maybridge_HitDiscoverCmpd45912_reduced,10,-8.46,6.47
ligand_Maybridge_HitDiscoverCmpd45913_reduced,10,-12.44,8.08
ligand_Maybridge_HitDiscoverCmpd45914_reduced,10,-12.07,7.26
ligand_Maybridge_HitDiscoverCmpd45915_reduced,10,-8.59,5.92
ligand_Maybridge_HitDiscoverCmpd45916_reduced,10,-8.25,6.81
ligand_Maybridge_HitDiscoverCmpd45917_reduced,10,-8.20,6.70
ligand_Maybridge_HitDiscoverCmpd45918_reduced,10,-8.41,6.87
ligand_Maybridge_HitDiscoverCmpd45919_reduced,10,-6.33,5.17
ligand_Maybridge_HitDiscoverCmpd4591_reduced,10,-7.14,5.88
ligand_Maybridge_HitDiscoverCmpd45920_reduced,10,-6.60,6.89
ligand_Maybridge_HitDiscoverCmpd45922_reduced,10,-8.09,6.77
ligand_Maybridge_HitDiscoverCmpd45923_reduced,10,-8.67,5.78
ligand_Maybridge_HitDiscoverCmpd45924_reduced,10,-10.76,7.38
ligand_Maybridge_HitDiscoverCmpd45925_reduced,10,-8.69,6.23
ligand_Maybridge_HitDiscoverCmpd45926_reduced,10,-10.55,6.58
ligand_Maybridge_HitDiscoverCmpd45927_reduced,10,-6.78,5.09
ligand_Maybridge_HitDiscoverCmpd45928_reduced,10,-8.94,7.69
ligand_Maybridge_HitDiscoverCmpd45929_reduced,10,-6.86,5.78
ligand_Maybridge_HitDiscoverCmpd4592_reduced,10,-6.93,7.10
ligand_Maybridge_HitDiscoverCmpd45930_reduced,10,-8.80,6.80
ligand_Maybridge_HitDiscoverCmpd45931_reduced,10,-10.21,7.60
ligand_Maybridge_HitDiscoverCmpd45932_reduced,10,-9.25,7.27
ligand_Maybridge_HitDiscoverCmpd45933_reduced,10,-12.16,6.75
ligand_Maybridge_HitDiscoverCmpd45934_reduced,10,-10.92,8.39
ligand_Maybridge_HitDiscoverCmpd45936_reduced,10,-9.21,6.78
ligand_Maybridge_HitDiscoverCmpd45937_reduced,10,-5.57,4.89
ligand_Maybridge_HitDiscoverCmpd45938_reduced,10,-10.47,6.46
ligand_Maybridge_HitDiscoverCmpd45939_reduced,10,-6.63,5.30
ligand_Maybridge_HitDiscoverCmpd4593_reduced,10,-8.83,6.53
ligand_Maybridge_HitDiscoverCmpd45940_reduced,10,-8.17,5.15
ligand_Maybridge_HitDiscoverCmpd45941_reduced,10,-9.63,7.64
ligand_Maybridge_HitDiscoverCmpd45942_reduced,10,-8.52,7.99
ligand_Maybridge_HitDiscoverCmpd45943_reduced,10,-9.07,6.52
ligand_Maybridge_HitDiscoverCmpd45944_reduced,10,-8.61,6.39
ligand_Maybridge_HitDiscoverCmpd45945_reduced,10,-9.28,7.37
ligand_Maybridge_HitDiscoverCmpd45946_reduced,10,-8.85,6.66
ligand_Maybridge_HitDiscoverCmpd45947_reduced,10,-7.87,6.08
ligand_Maybridge_HitDiscoverCmpd45948_reduced,10,-7.19,4.85
ligand_Maybridge_HitDiscoverCmpd45949_reduced,10,-6.80,6.74
ligand_Maybridge_HitDiscoverCmpd4594_reduced,10,-5.14,7.64
ligand_Maybridge_HitDiscoverCmpd45950_reduced,10,-7.11,6.40
ligand_Maybridge_HitDiscoverCmpd45951_reduced,10,-7.08,5.98
ligand_Maybridge_HitDiscoverCmpd45952_reduced,10,-5.41,5.10
ligand_Maybridge_HitDiscoverCmpd45953_reduced,10,-8.69,6.15
ligand_Maybridge_HitDiscoverCmpd45954_reduced,10,-9.67,7.39
ligand_Maybridge_HitDiscoverCmpd45955_reduced,10,-9.06,6.91
ligand_Maybridge_HitDiscoverCmpd45956_reduced,10,-10.46,7.01
ligand_Maybridge_HitDiscoverCmpd45957_reduced,10,-9.83,6.15
ligand_Maybridge_HitDiscoverCmpd45958_reduced,10,-6.96,7.32
ligand_Maybridge_HitDiscoverCmpd45959_reduced,10,0.90,8.02
ligand_Maybridge_HitDiscoverCmpd4595_reduced,10,-10.46,6.84
ligand_Maybridge_HitDiscoverCmpd45961_reduced,10,-8.45,5.71
ligand_Maybridge_HitDiscoverCmpd45962_reduced,10,-8.15,7.87
ligand_Maybridge_HitDiscoverCmpd45963_reduced,10,-9.32,6.51
ligand_Maybridge_HitDiscoverCmpd45964_reduced,10,-12.59,8.27
ligand_Maybridge_HitDiscoverCmpd45965_reduced,10,-5.74,5.92
ligand_Maybridge_HitDiscoverCmpd45966_reduced,10,-10.69,6.52
ligand_Maybridge_HitDiscoverCmpd45967_reduced,10,-8.37,6.50
ligand_Maybridge_HitDiscoverCmpd45968_reduced,10,-4.16,8.04
ligand_Maybridge_HitDiscoverCmpd45969_reduced,10,-8.41,7.47
ligand_Maybridge_HitDiscoverCmpd4596_reduced,10,-8.24,6.39
ligand_Maybridge_HitDiscoverCmpd45970_reduced,10,-10.64,7.21
ligand_Maybridge_HitDiscoverCmpd45971_reduced,10,-10.29,7.35
ligand_Maybridge_HitDiscoverCmpd45972_reduced,10,-8.59,5.90
ligand_Maybridge_HitDiscoverCmpd45973_reduced,10,-10.43,6.91
ligand_Maybridge_HitDiscoverCmpd45974_reduced,10,-11.32,7.59
ligand_Maybridge_HitDiscoverCmpd45975_reduced,10,-9.49,6.22
ligand_Maybridge_HitDiscoverCmpd45977_reduced,10,-10.08,6.87
ligand_Maybridge_HitDiscoverCmpd45978_reduced,10,-6.96,6.55
ligand_Maybridge_HitDiscoverCmpd45979_reduced,10,-8.84,7.90
ligand_Maybridge_HitDiscoverCmpd4597_reduced,10,-6.80,5.68
ligand_Maybridge_HitDiscoverCmpd45980_reduced,10,-8.92,6.48
ligand_Maybridge_HitDiscoverCmpd45981_reduced,10,-9.33,6.53
ligand_Maybridge_HitDiscoverCmpd45982_reduced,10,-13.05,8.12
ligand_Maybridge_HitDiscoverCmpd45983_reduced,10,-12.39,7.45
ligand_Maybridge_HitDiscoverCmpd45984_reduced,10,-7.82,6.34
ligand_Maybridge_HitDiscoverCmpd45986_reduced,10,-12.26,7.98
ligand_Maybridge_HitDiscoverCmpd45987_reduced,10,-10.26,7.01
ligand_Maybridge_HitDiscoverCmpd45988_reduced,10,0.15,7.56
ligand_Maybridge_HitDiscoverCmpd45989_reduced,10,-9.04,7.75
ligand_Maybridge_HitDiscoverCmpd4598_reduced,10,-11.88,7.77
ligand_Maybridge_HitDiscoverCmpd45990_reduced,10,-8.78,6.26
ligand_Maybridge_HitDiscoverCmpd45991_reduced,10,-9.56,7.01
ligand_Maybridge_HitDiscoverCmpd45992_reduced,10,-10.77,7.88
ligand_Maybridge_HitDiscoverCmpd45993_reduced,10,-10.81,7.57
ligand_Maybridge_HitDiscoverCmpd45994_reduced,10,-8.44,5.91
ligand_Maybridge_HitDiscoverCmpd45996_reduced,10,-7.18,6.33
ligand_Maybridge_HitDiscoverCmpd45997_reduced,10,-10.02,7.14
ligand_Maybridge_HitDiscoverCmpd45998_reduced,10,-9.79,6.40
ligand_Maybridge_HitDiscoverCmpd45999_reduced,10,-7.28,6.05
ligand_Maybridge_HitDiscoverCmpd4599_reduced,10,-9.50,6.82
ligand_Maybridge_HitDiscoverCmpd459_reduced,10,-8.76,7.70
ligand_Maybridge_HitDiscoverCmpd45_reduced,10,-9.08,7.07
ligand_Maybridge_HitDiscoverCmpd46000_reduced,10,-8.58,6.07
ligand_Maybridge_HitDiscoverCmpd46001_reduced,10,-7.70,6.06
ligand_Maybridge_HitDiscoverCmpd46002_reduced,10,-8.02,6.43
ligand_Maybridge_HitDiscoverCmpd46003_reduced,10,-11.23,7.78
ligand_Maybridge_HitDiscoverCmpd46004_reduced,10,-10.30,7.40
ligand_Maybridge_HitDiscoverCmpd46006_reduced,10,-7.18,6.02
ligand_Maybridge_HitDiscoverCmpd46007_reduced,10,-9.91,6.82
ligand_Maybridge_HitDiscoverCmpd46008_reduced,10,-11.79,7.00
ligand_Maybridge_HitDiscoverCmpd46009_reduced,10,-10.55,6.82
ligand_Maybridge_HitDiscoverCmpd4600_reduced,10,-10.80,7.51
ligand_Maybridge_HitDiscoverCmpd46010_reduced,10,-10.67,7.96
ligand_Maybridge_HitDiscoverCmpd46011_reduced,10,-7.95,7.25
ligand_Maybridge_HitDiscoverCmpd46012_reduced,10,-9.37,8.20
ligand_Maybridge_HitDiscoverCmpd46013_reduced,10,-10.63,7.48
ligand_Maybridge_HitDiscoverCmpd46014_reduced,10,-10.66,7.43
ligand_Maybridge_HitDiscoverCmpd46015_reduced,10,-9.35,6.82
ligand_Maybridge_HitDiscoverCmpd46016_reduced,10,-7.40,6.05
ligand_Maybridge_HitDiscoverCmpd46017_reduced,10,-7.01,5.73
ligand_Maybridge_HitDiscoverCmpd46018_reduced,10,-6.23,6.00
