Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd33962_reduced,10,-9.10,6.49
ligand_Maybridge_HitDiscoverCmpd33963_reduced,10,-10.15,6.69
ligand_Maybridge_HitDiscoverCmpd33965_reduced,10,-7.64,5.51
ligand_Maybridge_HitDiscoverCmpd33966_reduced,10,-8.85,7.95
ligand_Maybridge_HitDiscoverCmpd33967_reduced,10,-7.82,6.28
ligand_Maybridge_HitDiscoverCmpd33968_reduced,10,-8.58,6.97
ligand_Maybridge_HitDiscoverCmpd33969_reduced,10,-9.98,6.91
ligand_Maybridge_HitDiscoverCmpd3396_reduced,10,-9.97,7.42
ligand_Maybridge_HitDiscoverCmpd33970_reduced,10,-6.72,5.79
ligand_Maybridge_HitDiscoverCmpd33971_reduced,10,-7.05,6.99
ligand_Maybridge_HitDiscoverCmpd33972_reduced,10,-9.29,6.67
ligand_Maybridge_HitDiscoverCmpd33973_reduced,10,-8.95,6.32
ligand_Maybridge_HitDiscoverCmpd33974_reduced,10,-7.41,5.41
ligand_Maybridge_HitDiscoverCmpd33975_reduced,10,-8.38,5.65
ligand_Maybridge_HitDiscoverCmpd33976_reduced,10,-9.42,7.23
ligand_Maybridge_HitDiscoverCmpd33977_reduced,10,-7.53,5.98
ligand_Maybridge_HitDiscoverCmpd33978_reduced,10,-7.68,7.85
ligand_Maybridge_HitDiscoverCmpd33979_reduced,10,-9.55,7.50
ligand_Maybridge_HitDiscoverCmpd3397_reduced,10,-8.84,6.04
ligand_Maybridge_HitDiscoverCmpd33980_reduced,10,-9.83,7.07
ligand_Maybridge_HitDiscoverCmpd33981_reduced,10,-9.30,7.40
ligand_Maybridge_HitDiscoverCmpd33982_reduced,10,-11.30,7.81
ligand_Maybridge_HitDiscoverCmpd33983_reduced,10,-11.04,7.26
ligand_Maybridge_HitDiscoverCmpd33984_reduced,10,-11.57,7.90
ligand_Maybridge_HitDiscoverCmpd33985_reduced,10,-9.42,6.77
ligand_Maybridge_HitDiscoverCmpd33986_reduced,10,-7.78,5.67
ligand_Maybridge_HitDiscoverCmpd33987_reduced,10,-7.28,7.87
ligand_Maybridge_HitDiscoverCmpd33988_reduced,10,-8.13,7.85
ligand_Maybridge_HitDiscoverCmpd33989_reduced,10,-10.16,7.24
ligand_Maybridge_HitDiscoverCmpd3398_reduced,10,-10.09,7.24
ligand_Maybridge_HitDiscoverCmpd33990_reduced,10,-9.82,7.39
ligand_Maybridge_HitDiscoverCmpd33991_reduced,10,-11.72,7.03
ligand_Maybridge_HitDiscoverCmpd33992_reduced,10,-11.14,8.05
ligand_Maybridge_HitDiscoverCmpd33993_reduced,10,-9.55,6.38
ligand_Maybridge_HitDiscoverCmpd33994_reduced,10,-10.82,7.95
ligand_Maybridge_HitDiscoverCmpd33995_reduced,10,-10.53,6.82
ligand_Maybridge_HitDiscoverCmpd33996_reduced,10,-8.22,5.91
ligand_Maybridge_HitDiscoverCmpd33997_reduced,10,-7.56,8.16
ligand_Maybridge_HitDiscoverCmpd33998_reduced,10,-9.34,6.65
ligand_Maybridge_HitDiscoverCmpd33999_reduced,10,-9.91,7.55
ligand_Maybridge_HitDiscoverCmpd3399_reduced,10,-10.12,7.43
ligand_Maybridge_HitDiscoverCmpd339_reduced,10,-11.31,7.63
ligand_Maybridge_HitDiscoverCmpd33_reduced,10,-7.24,4.96
ligand_Maybridge_HitDiscoverCmpd34000_reduced,10,-8.61,7.66
ligand_Maybridge_HitDiscoverCmpd34001_reduced,10,-12.26,7.04
ligand_Maybridge_HitDiscoverCmpd34002_reduced,10,-10.84,8.06
ligand_Maybridge_HitDiscoverCmpd34003_reduced,10,-10.32,7.29
ligand_Maybridge_HitDiscoverCmpd34004_reduced,10,-8.94,7.32
ligand_Maybridge_HitDiscoverCmpd34005_reduced,10,-11.24,6.78
ligand_Maybridge_HitDiscoverCmpd34006_reduced,10,-9.56,6.17
ligand_Maybridge_HitDiscoverCmpd34007_reduced,10,-9.02,8.15
ligand_Maybridge_HitDiscoverCmpd34008_reduced,10,-9.10,7.88
ligand_Maybridge_HitDiscoverCmpd34009_reduced,10,-11.80,7.50
ligand_Maybridge_HitDiscoverCmpd3400_reduced,10,-6.28,6.26
ligand_Maybridge_HitDiscoverCmpd34010_reduced,10,-10.20,7.42
ligand_Maybridge_HitDiscoverCmpd34011_reduced,10,-11.98,7.27
ligand_Maybridge_HitDiscoverCmpd34012_reduced,10,-12.39,7.79
ligand_Maybridge_HitDiscoverCmpd34013_reduced,10,-10.73,7.69
ligand_Maybridge_HitDiscoverCmpd34014_reduced,10,-8.84,6.87
ligand_Maybridge_HitDiscoverCmpd34015_reduced,10,-10.33,6.62
ligand_Maybridge_HitDiscoverCmpd34016_reduced,10,-8.35,6.47
ligand_Maybridge_HitDiscoverCmpd34017_reduced,10,-6.77,7.92
ligand_Maybridge_HitDiscoverCmpd34018_reduced,10,-8.99,7.67
ligand_Maybridge_HitDiscoverCmpd34019_reduced,10,-11.91,8.04
ligand_Maybridge_HitDiscoverCmpd3401_reduced,10,-10.13,6.71
ligand_Maybridge_HitDiscoverCmpd34020_reduced,10,-10.71,7.71
ligand_Maybridge_HitDiscoverCmpd34021_reduced,10,-12.01,7.28
ligand_Maybridge_HitDiscoverCmpd34022_reduced,10,-8.87,5.92
ligand_Maybridge_HitDiscoverCmpd34023_reduced,10,-11.52,7.96
ligand_Maybridge_HitDiscoverCmpd34024_reduced,10,-8.61,6.35
ligand_Maybridge_HitDiscoverCmpd34025_reduced,10,-11.11,6.96
ligand_Maybridge_HitDiscoverCmpd34026_reduced,10,-6.50,5.93
ligand_Maybridge_HitDiscoverCmpd34027_reduced,10,-7.22,7.95
ligand_Maybridge_HitDiscoverCmpd34028_reduced,10,-8.32,7.84
ligand_Maybridge_HitDiscoverCmpd34029_reduced,10,-9.89,6.92
ligand_Maybridge_HitDiscoverCmpd3402_reduced,10,-11.26,6.91
ligand_Maybridge_HitDiscoverCmpd34030_reduced,10,-10.52,7.73
ligand_Maybridge_HitDiscoverCmpd34031_reduced,10,-12.42,7.51
ligand_Maybridge_HitDiscoverCmpd34032_reduced,10,-9.52,6.86
ligand_Maybridge_HitDiscoverCmpd34033_reduced,10,-11.67,7.79
ligand_Maybridge_HitDiscoverCmpd34034_reduced,10,-7.70,6.27
ligand_Maybridge_HitDiscoverCmpd34035_reduced,10,-10.27,7.29
ligand_Maybridge_HitDiscoverCmpd34036_reduced,10,-10.82,6.67
ligand_Maybridge_HitDiscoverCmpd34037_reduced,10,-7.35,7.81
ligand_Maybridge_HitDiscoverCmpd34038_reduced,10,-10.78,7.42
ligand_Maybridge_HitDiscoverCmpd34039_reduced,10,-11.73,8.28
ligand_Maybridge_HitDiscoverCmpd3403_reduced,10,-9.57,7.45
ligand_Maybridge_HitDiscoverCmpd34040_reduced,10,-9.59,6.99
ligand_Maybridge_HitDiscoverCmpd34041_reduced,10,-12.80,7.46
ligand_Maybridge_HitDiscoverCmpd34042_reduced,10,-11.39,7.21
ligand_Maybridge_HitDiscoverCmpd34043_reduced,10,-11.83,8.18
ligand_Maybridge_HitDiscoverCmpd34044_reduced,10,-10.54,7.64
ligand_Maybridge_HitDiscoverCmpd34045_reduced,10,-10.08,7.08
ligand_Maybridge_HitDiscoverCmpd34046_reduced,10,-11.98,7.28
ligand_Maybridge_HitDiscoverCmpd34047_reduced,10,-8.72,7.91
ligand_Maybridge_HitDiscoverCmpd34048_reduced,10,-11.35,8.03
ligand_Maybridge_HitDiscoverCmpd34049_reduced,10,-8.56,6.62
ligand_Maybridge_HitDiscoverCmpd3404_reduced,10,-11.31,8.02
ligand_Maybridge_HitDiscoverCmpd34050_reduced,10,-9.55,7.53
ligand_Maybridge_HitDiscoverCmpd34051_reduced,10,-10.78,7.65
ligand_Maybridge_HitDiscoverCmpd34052_reduced,10,-8.87,6.64
ligand_Maybridge_HitDiscoverCmpd34053_reduced,10,-11.57,8.24
ligand_Maybridge_HitDiscoverCmpd34054_reduced,10,-8.10,6.52
ligand_Maybridge_HitDiscoverCmpd34055_reduced,10,-9.35,7.11
ligand_Maybridge_HitDiscoverCmpd34056_reduced,10,-6.44,8.14
ligand_Maybridge_HitDiscoverCmpd34057_reduced,10,-6.80,7.91
ligand_Maybridge_HitDiscoverCmpd34058_reduced,10,-7.62,5.75
ligand_Maybridge_HitDiscoverCmpd34059_reduced,10,-8.70,6.12
ligand_Maybridge_HitDiscoverCmpd3405_reduced,10,-10.24,7.60
ligand_Maybridge_HitDiscoverCmpd34060_reduced,10,-8.22,6.72
ligand_Maybridge_HitDiscoverCmpd34061_reduced,10,-8.03,6.52
ligand_Maybridge_HitDiscoverCmpd34062_reduced,10,-8.63,6.36
ligand_Maybridge_HitDiscoverCmpd34063_reduced,10,-6.64,5.47
ligand_Maybridge_HitDiscoverCmpd34064_reduced,10,-9.84,7.36
ligand_Maybridge_HitDiscoverCmpd34065_reduced,10,-6.72,5.55
ligand_Maybridge_HitDiscoverCmpd34066_reduced,10,-10.40,8.07
ligand_Maybridge_HitDiscoverCmpd34067_reduced,10,-6.87,5.68
ligand_Maybridge_HitDiscoverCmpd34068_reduced,10,-5.82,4.26
ligand_Maybridge_HitDiscoverCmpd34069_reduced,10,-9.42,6.58
ligand_Maybridge_HitDiscoverCmpd3406_reduced,10,-10.66,7.85
ligand_Maybridge_HitDiscoverCmpd34070_reduced,10,-8.80,6.66
ligand_Maybridge_HitDiscoverCmpd34071_reduced,10,-7.35,4.99
ligand_Maybridge_HitDiscoverCmpd34072_reduced,10,-7.85,5.78
ligand_Maybridge_HitDiscoverCmpd34073_reduced,10,-6.24,5.50
ligand_Maybridge_HitDiscoverCmpd34074_reduced,10,-6.55,5.65
ligand_Maybridge_HitDiscoverCmpd34075_reduced,10,-7.67,5.80
ligand_Maybridge_HitDiscoverCmpd34076_reduced,10,-6.97,5.89
ligand_Maybridge_HitDiscoverCmpd34077_reduced,10,-6.32,6.17
ligand_Maybridge_HitDiscoverCmpd34078_reduced,10,-7.75,6.15
ligand_Maybridge_HitDiscoverCmpd34079_reduced,10,-8.29,6.40
ligand_Maybridge_HitDiscoverCmpd3407_reduced,10,-9.32,7.14
ligand_Maybridge_HitDiscoverCmpd34080_reduced,10,-10.14,8.04
ligand_Maybridge_HitDiscoverCmpd34081_reduced,10,-8.89,6.79
ligand_Maybridge_HitDiscoverCmpd34082_reduced,10,-6.72,5.04
ligand_Maybridge_HitDiscoverCmpd34083_reduced,10,-5.56,5.06
ligand_Maybridge_HitDiscoverCmpd34084_reduced,10,-6.87,6.09
ligand_Maybridge_HitDiscoverCmpd34085_reduced,10,-6.38,5.05
ligand_Maybridge_HitDiscoverCmpd34086_reduced,10,-10.37,6.81
ligand_Maybridge_HitDiscoverCmpd34087_reduced,10,-9.76,6.65
ligand_Maybridge_HitDiscoverCmpd34088_reduced,10,-10.07,7.72
ligand_Maybridge_HitDiscoverCmpd34089_reduced,10,-7.80,5.80
ligand_Maybridge_HitDiscoverCmpd3408_reduced,10,-10.83,7.62
ligand_Maybridge_HitDiscoverCmpd34090_reduced,10,-6.42,7.11
ligand_Maybridge_HitDiscoverCmpd34091_reduced,10,-10.74,7.15
ligand_Maybridge_HitDiscoverCmpd34092_reduced,10,-6.40,5.13
ligand_Maybridge_HitDiscoverCmpd34093_reduced,10,-8.54,6.52
ligand_Maybridge_HitDiscoverCmpd34094_reduced,10,-7.53,5.75
ligand_Maybridge_HitDiscoverCmpd34095_reduced,10,-6.79,5.05
ligand_Maybridge_HitDiscoverCmpd34096_reduced,10,-10.48,7.50
ligand_Maybridge_HitDiscoverCmpd34097_reduced,10,-7.89,6.83
ligand_Maybridge_HitDiscoverCmpd34098_reduced,10,-8.68,6.13
ligand_Maybridge_HitDiscoverCmpd34099_reduced,10,-12.20,7.67
ligand_Maybridge_HitDiscoverCmpd3409_reduced,10,-3.42,7.71
ligand_Maybridge_HitDiscoverCmpd340_reduced,10,-8.22,7.24
ligand_Maybridge_HitDiscoverCmpd34100_reduced,10,-7.64,5.97
ligand_Maybridge_HitDiscoverCmpd34101_reduced,10,-10.55,7.38
ligand_Maybridge_HitDiscoverCmpd34102_reduced,10,-6.38,5.14
ligand_Maybridge_HitDiscoverCmpd34103_reduced,10,-5.75,4.97
ligand_Maybridge_HitDiscoverCmpd34104_reduced,10,-7.44,5.86
ligand_Maybridge_HitDiscoverCmpd34105_reduced,10,-10.87,7.70
ligand_Maybridge_HitDiscoverCmpd34106_reduced,10,-10.94,7.67
ligand_Maybridge_HitDiscoverCmpd34107_reduced,10,-9.92,8.30
ligand_Maybridge_HitDiscoverCmpd34108_reduced,10,-10.12,7.75
ligand_Maybridge_HitDiscoverCmpd34109_reduced,10,-10.60,7.32
ligand_Maybridge_HitDiscoverCmpd3410_reduced,10,-9.95,7.09
ligand_Maybridge_HitDiscoverCmpd34110_reduced,10,-4.87,7.58
ligand_Maybridge_HitDiscoverCmpd34111_reduced,10,-7.45,6.11
ligand_Maybridge_HitDiscoverCmpd34112_reduced,10,-5.47,4.66
ligand_Maybridge_HitDiscoverCmpd34113_reduced,10,-8.91,6.45
ligand_Maybridge_HitDiscoverCmpd34114_reduced,10,-7.21,5.61
ligand_Maybridge_HitDiscoverCmpd34115_reduced,10,-9.25,6.95
ligand_Maybridge_HitDiscoverCmpd34116_reduced,10,-10.52,7.81
ligand_Maybridge_HitDiscoverCmpd34117_reduced,10,-7.74,5.70
ligand_Maybridge_HitDiscoverCmpd34118_reduced,10,-10.57,7.96
ligand_Maybridge_HitDiscoverCmpd34119_reduced,10,-10.47,7.22
ligand_Maybridge_HitDiscoverCmpd3411_reduced,10,-9.51,7.49
ligand_Maybridge_HitDiscoverCmpd34121_reduced,10,-7.98,6.12
ligand_Maybridge_HitDiscoverCmpd34122_reduced,10,-6.26,5.40
ligand_Maybridge_HitDiscoverCmpd34123_reduced,10,-11.05,7.25
ligand_Maybridge_HitDiscoverCmpd34124_reduced,10,-6.66,5.99
ligand_Maybridge_HitDiscoverCmpd34125_reduced,10,-12.07,7.88
ligand_Maybridge_HitDiscoverCmpd34126_reduced,10,-4.69,5.62
ligand_Maybridge_HitDiscoverCmpd34127_reduced,10,-10.69,7.33
ligand_Maybridge_HitDiscoverCmpd34128_reduced,10,-8.68,6.17
ligand_Maybridge_HitDiscoverCmpd34129_reduced,10,-11.65,7.62
ligand_Maybridge_HitDiscoverCmpd3412_reduced,10,-10.30,6.18
ligand_Maybridge_HitDiscoverCmpd34130_reduced,10,-8.03,5.91
ligand_Maybridge_HitDiscoverCmpd34131_reduced,10,-8.07,6.07
ligand_Maybridge_HitDiscoverCmpd34132_reduced,10,-5.84,4.19
ligand_Maybridge_HitDiscoverCmpd34133_reduced,10,-10.66,7.09
ligand_Maybridge_HitDiscoverCmpd34134_reduced,10,-9.09,6.95
ligand_Maybridge_HitDiscoverCmpd34135_reduced,10,-11.42,8.16
ligand_Maybridge_HitDiscoverCmpd34136_reduced,10,-9.78,7.08
ligand_Maybridge_HitDiscoverCmpd34138_reduced,10,-8.61,5.80
ligand_Maybridge_HitDiscoverCmpd34139_reduced,10,-11.23,7.71
ligand_Maybridge_HitDiscoverCmpd3413_reduced,10,-9.28,6.51
ligand_Maybridge_HitDiscoverCmpd34140_reduced,10,-10.59,6.73
ligand_Maybridge_HitDiscoverCmpd34141_reduced,10,-10.04,6.66
ligand_Maybridge_HitDiscoverCmpd34142_reduced,10,-11.58,8.04
ligand_Maybridge_HitDiscoverCmpd34143_reduced,10,-9.06,6.70
ligand_Maybridge_HitDiscoverCmpd34144_reduced,10,-11.19,7.30
ligand_Maybridge_HitDiscoverCmpd34145_reduced,10,-10.01,6.87
ligand_Maybridge_HitDiscoverCmpd34146_reduced,10,-10.53,6.92
ligand_Maybridge_HitDiscoverCmpd34147_reduced,10,-8.78,6.66
ligand_Maybridge_HitDiscoverCmpd34148_reduced,10,-10.10,8.18
ligand_Maybridge_HitDiscoverCmpd34149_reduced,10,-8.64,8.09
ligand_Maybridge_HitDiscoverCmpd3414_reduced,10,-11.04,8.10
ligand_Maybridge_HitDiscoverCmpd34150_reduced,10,-10.78,6.59
ligand_Maybridge_HitDiscoverCmpd34151_reduced,10,-8.33,5.73
ligand_Maybridge_HitDiscoverCmpd34152_reduced,10,-11.05,6.85
ligand_Maybridge_HitDiscoverCmpd34153_reduced,10,-10.23,7.35
ligand_Maybridge_HitDiscoverCmpd34154_reduced,10,-11.39,6.91
ligand_Maybridge_HitDiscoverCmpd34155_reduced,10,-11.07,7.02
ligand_Maybridge_HitDiscoverCmpd34156_reduced,10,-10.62,7.29
ligand_Maybridge_HitDiscoverCmpd34157_reduced,10,-8.74,6.11
ligand_Maybridge_HitDiscoverCmpd34158_reduced,10,-11.28,7.08
ligand_Maybridge_HitDiscoverCmpd34159_reduced,10,-1.88,7.80
ligand_Maybridge_HitDiscoverCmpd3415_reduced,10,-6.55,7.80
ligand_Maybridge_HitDiscoverCmpd34160_reduced,10,-9.81,6.89
ligand_Maybridge_HitDiscoverCmpd34161_reduced,10,-10.96,7.30
ligand_Maybridge_HitDiscoverCmpd34162_reduced,10,-10.95,6.75
ligand_Maybridge_HitDiscoverCmpd34163_reduced,10,-9.95,6.47
ligand_Maybridge_HitDiscoverCmpd34164_reduced,10,-8.43,5.98
ligand_Maybridge_HitDiscoverCmpd34165_reduced,10,-11.49,7.27
ligand_Maybridge_HitDiscoverCmpd34166_reduced,10,-10.18,8.35
ligand_Maybridge_HitDiscoverCmpd34167_reduced,10,-7.81,5.87
ligand_Maybridge_HitDiscoverCmpd34168_reduced,10,-7.60,8.11
ligand_Maybridge_HitDiscoverCmpd34169_reduced,10,-7.96,7.83
ligand_Maybridge_HitDiscoverCmpd3416_reduced,10,-6.74,7.86
ligand_Maybridge_HitDiscoverCmpd34170_reduced,10,-10.84,6.89
ligand_Maybridge_HitDiscoverCmpd34171_reduced,10,-10.73,6.54
ligand_Maybridge_HitDiscoverCmpd34172_reduced,10,-11.85,8.50
ligand_Maybridge_HitDiscoverCmpd34173_reduced,10,-10.21,7.19
ligand_Maybridge_HitDiscoverCmpd34174_reduced,10,-8.48,6.17
ligand_Maybridge_HitDiscoverCmpd34175_reduced,10,-11.20,7.04
ligand_Maybridge_HitDiscoverCmpd34176_reduced,10,-11.34,7.88
ligand_Maybridge_HitDiscoverCmpd34177_reduced,10,-10.15,7.89
ligand_Maybridge_HitDiscoverCmpd34178_reduced,10,-8.44,6.57
ligand_Maybridge_HitDiscoverCmpd34179_reduced,10,-8.09,7.20
ligand_Maybridge_HitDiscoverCmpd3417_reduced,10,-10.95,6.53
ligand_Maybridge_HitDiscoverCmpd34180_reduced,10,-10.98,6.81
ligand_Maybridge_HitDiscoverCmpd34181_reduced,10,-9.97,6.22
